work_id	person_id	title	subtitle	author	path
4951	000154	怪譚小説の話		田中貢太郎	cards/000154/files/4951_ruby_16398/4951_ruby_16398.txt
4952	000388	土俗玩具の話		淡島寒月	cards/000388/files/4952_ruby_8546/4952_ruby_8546.txt
4953	000388	活動写真		淡島寒月	cards/000388/files/4953_ruby_8544/4953_ruby_8544.txt
4954	000388	梵雲庵漫録		淡島寒月	cards/000388/files/4954_ruby_8538/4954_ruby_8538.txt
4955	000388	諸国の玩具	――浅草奥山の草分――	淡島寒月	cards/000388/files/4955_ruby_8536/4955_ruby_8536.txt
4956	000388	我が宗教観		淡島寒月	cards/000388/files/4956_ruby_8532/4956_ruby_8532.txt
4957	000388	凧の話		淡島寒月	cards/000388/files/4957_ruby_8534/4957_ruby_8534.txt
4958	000649	公益に有害の鑛業を停止せざる儀に付質問書		田中正造	cards/000649/files/4958_txt_9246/4958_txt_9246.txt
4959	000278	月夜のあとさき		津村信夫	cards/000278/files/4959_ruby_9740/4959_ruby_9740.txt
4960	000293	潮干狩		原民喜	cards/000293/files/4960_txt_16472/4960_txt_16472.txt
4961	000293	雲雀病院		原民喜	cards/000293/files/4961_txt_17061/4961_txt_17061.txt
4962	000169	獄中消息		大杉栄	cards/000169/files/4962_ruby_10881/4962_ruby_10881.txt
4963	001053	原爆詩集		峠三吉	cards/001053/files/4963_ruby_16044/4963_ruby_16044.txt
4964	001052	入梅		久坂葉子	cards/001052/files/4964_ruby_18636/4964_ruby_18636.txt
4967	001052	落ちてゆく世界		久坂葉子	cards/001052/files/4967_ruby_18634/4967_ruby_18634.txt
4968	001052	灰色の記憶		久坂葉子	cards/001052/files/4968_ruby_18637/4968_ruby_18637.txt
4969	001052	華々しき瞬間		久坂葉子	cards/001052/files/4969_ruby_18638/4969_ruby_18638.txt
4970	001052	幾度目かの最期		久坂葉子	cards/001052/files/4970_ruby_18633/4970_ruby_18633.txt
4971	000726	朝散太夫の末裔		長谷川時雨	cards/000726/files/4971_ruby_8753/4971_ruby_8753.txt
4972	000726	チンコッきり		長谷川時雨	cards/000726/files/4972_ruby_8757/4972_ruby_8757.txt
4973	000726	お墓のすげかえ		長谷川時雨	cards/000726/files/4973_ruby_9213/4973_ruby_9213.txt
4974	000726	西洋の唐茄子		長谷川時雨	cards/000726/files/4974_ruby_9240/4974_ruby_9240.txt
4975	000726	流れた唾き		長谷川時雨	cards/000726/files/4975_ruby_9255/4975_ruby_9255.txt
4976	000726	最初の外国保険詐欺		長谷川時雨	cards/000726/files/4976_ruby_9258/4976_ruby_9258.txt
4977	000726	牢屋の原		長谷川時雨	cards/000726/files/4977_ruby_9259/4977_ruby_9259.txt
4978	000726	神田附木店		長谷川時雨	cards/000726/files/4978_ruby_9266/4978_ruby_9266.txt
4979	000726	明治座今昔		長谷川時雨	cards/000726/files/4979_ruby_9285/4979_ruby_9285.txt
4980	000726	西川小りん		長谷川時雨	cards/000726/files/4980_ruby_9292/4980_ruby_9292.txt
4981	000726	議事堂炎上		長谷川時雨	cards/000726/files/4981_ruby_9294/4981_ruby_9294.txt
4982	000726	大門通り界隈一束	続旧聞日本橋・その一	長谷川時雨	cards/000726/files/4982_ruby_9306/4982_ruby_9306.txt
4983	000726	鉄くそぶとり	続旧聞日本橋・その二	長谷川時雨	cards/000726/files/4983_ruby_9320/4983_ruby_9320.txt
4984	000726	鬼眼鏡と鉄屑ぶとり	続旧聞日本橋・その三	長谷川時雨	cards/000726/files/4984_ruby_9333/4984_ruby_9333.txt
4985	000510	南予枇杷行		河東碧梧桐	cards/000510/files/4985_ruby_16965/4985_ruby_16965.txt
4986	000106	水郷柳河		北原白秋	cards/000106/files/4986_ruby_15801/4986_ruby_15801.txt
4987	000214	耶馬渓の一夜		田山花袋	cards/000214/files/4987_ruby_16966/4987_ruby_16966.txt
4988	000023	佗しい放浪の旅		徳田秋聲	cards/000023/files/4988_ruby_14589/4988_ruby_14589.txt
4989	000291	屋久島紀行		林芙美子	cards/000291/files/4989_ruby_24106/4989_ruby_24106.txt
4990	001054	沖繩の旅		濱田耕作	cards/001054/files/4990_ruby_20644/4990_ruby_20644.txt
4992	001055	松浦あがた		蒲原有明	cards/001055/files/4992_ruby_17194/4992_ruby_17194.txt
4993	001062	真夏の夢	ストリンドベルヒ　August Strindberg	有島武郎訳	cards/001062/files/4993_ruby_11268/4993_ruby_11268.txt
4994	000025	燕と王子		有島武郎	cards/000025/files/4994_ruby_11022/4994_ruby_11022.txt
4995	001037	東山時代における一縉紳の生活		原勝郎	cards/001037/files/4995_ruby_17349/4995_ruby_17349.txt
4996	000076	愛		岡本かの子	cards/000076/files/4996_ruby_15340/4996_ruby_15340.txt
4997	000050	化鳥		泉鏡花	cards/000050/files/4997_ruby_12168/4997_ruby_12168.txt
4998	001058	世界怪談名作集	廃宅 エルンスト・テオドーア・アマーデウス・ホフマン　Ernst Theodor Amadeus Hoffmann	岡本綺堂訳	cards/001058/files/4998_ruby_13929/4998_ruby_13929.txt
4999	001078	世界怪談名作集	牡丹燈記 瞿宗吉	岡本綺堂訳	cards/001078/files/4999_ruby_12229/4999_ruby_12229.txt
5000	001057	倩娘	陳玄祐	田中貢太郎訳	cards/001057/files/5000_ruby_12231/5000_ruby_12231.txt
5001	001059	曼珠沙華		齋藤茂吉	cards/001059/files/5001_ruby_14144/5001_ruby_14144.txt
5002	001059	蚤		斎藤茂吉	cards/001059/files/5002_ruby_14141/5002_ruby_14141.txt
5003	001059	支流		齋藤茂吉	cards/001059/files/5003_ruby_14139/5003_ruby_14139.txt
5004	001059	双葉山		斎藤茂吉	cards/001059/files/5004_ruby_14143/5004_ruby_14143.txt
5005	000035	地図		太宰治	cards/000035/files/5005_txt_14135/5005_txt_14135.txt
5006	000655	木乃伊の口紅		田村俊子	cards/000655/files/5006_ruby_23904/5006_ruby_23904.txt
5007	000218	唯物史観と現代の意識		三木清	cards/000218/files/5007_txt_47368/5007_txt_47368.txt
5008	000048	死の接吻	――スウェーデンの殺人鬼――	南部修太郎	cards/000048/files/5008_ruby_13477/5008_ruby_13477.txt
5009	000933	山の湯雑記		折口信夫	cards/000933/files/5009_ruby_14188/5009_ruby_14188.txt
